"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",119.5384,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1993","1993","PC","Percentage","0","Units",,,2.951657,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1994","1994","PC","Percentage","0","Units",,,2.607442,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1995","1995","PC","Percentage","0","Units",,,2.80542,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1996","1996","PC","Percentage","0","Units",,,2.931204,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1997","1997","PC","Percentage","0","Units",,,2.33769,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1998","1998","PC","Percentage","0","Units",,,1.552279,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1999","1999","PC","Percentage","0","Units",,,2.188027,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2000","2000","PC","Percentage","0","Units",,,3.376857,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2001","2001","PC","Percentage","0","Units",,,2.826171,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2002","2002","PC","Percentage","0","Units",,,1.586032,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2003","2003","PC","Percentage","0","Units",,,2.270095,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2004","2004","PC","Percentage","0","Units",,,2.677237,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2005","2005","PC","Percentage","0","Units",,,3.392747,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2006","2006","PC","Percentage","0","Units",,,3.225944,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2007","2007","PC","Percentage","0","Units",,,2.852673,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2008","2008","PC","Percentage","0","Units",,,3.8391,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2009","2009","PC","Percentage","0","Units",,,-0.3555463,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2010","2010","PC","Percentage","0","Units",,,1.640043,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,3.156842,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,2.069337,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,1.464833,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.622223,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.1186271,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.261583,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.13011,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.442583,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.81221,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2020","2020","PC","Percentage","0","Units",,,1.233584,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2021","2021","PC","Percentage","0","Units",,,4.697859,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,1.497319,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,1.722521,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,2.405407,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,2.969429,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,2.331402,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,2.847277,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,3.457183,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,3.162829,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,3.040952,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,2.588173,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2021","2021","PC","Percentage","0","Units",,,3.020479,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1993","1993","IDX","Index","0","Units","2013M12_100","2013M12=100",59.77276,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1994","1994","IDX","Index","0","Units","2013M12_100","2013M12=100",61.49051,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1995","1995","IDX","Index","0","Units","2013M12_100","2013M12=100",63.48211,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1996","1996","IDX","Index","0","Units","2013M12_100","2013M12=100",65.85069,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1997","1997","IDX","Index","0","Units","2013M12_100","2013M12=100",67.49019,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1998","1998","IDX","Index","0","Units","2013M12_100","2013M12=100",68.76694,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1999","1999","IDX","Index","0","Units","2013M12_100","2013M12=100",70.07926,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2000","2000","IDX","Index","0","Units","2013M12_100","2013M12=100",71.64764,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2001","2001","IDX","Index","0","Units","2013M12_100","2013M12=100",73.98777,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2002","2002","IDX","Index","0","Units","2013M12_100","2013M12=100",74.93733,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2003","2003","IDX","Index","0","Units","2013M12_100","2013M12=100",76.56618,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2004","2004","IDX","Index","0","Units","2013M12_100","2013M12=100",79.46111,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2005","2005","IDX","Index","0","Units","2013M12_100","2013M12=100",80.99392,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2006","2006","IDX","Index","0","Units","2013M12_100","2013M12=100",82.41293,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2007","2007","IDX","Index","0","Units","2013M12_100","2013M12=100",85.88912,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2008","2008","IDX","Index","0","Units","2013M12_100","2013M12=100",91.38813,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2009","2009","IDX","Index","0","Units","2013M12_100","2013M12=100",91.80775,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2010","2010","IDX","Index","0","Units","2013M12_100","2013M12=100",92.11008,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2011","2011","IDX","Index","0","Units","2013M12_100","2013M12=100",96.53498,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2012","2012","IDX","Index","0","Units","2013M12_100","2013M12=100",98.90391,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2013","2013","IDX","Index","0","Units","2013M12_100","2013M12=100",99.80234,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2014","2014","IDX","Index","0","Units","2013M12_100","2013M12=100",102.4369,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2015","2015","IDX","Index","0","Units","2013M12_100","2013M12=100",103.6331,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2016","2016","IDX","Index","0","Units","2013M12_100","2013M12=100",102.2596,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2017","2017","IDX","Index","0","Units","2013M12_100","2013M12=100",102.0528,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2018","2018","IDX","Index","0","Units","2013M12_100","2013M12=100",102.5178,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2019","2019","IDX","Index","0","Units","2013M12_100","2013M12=100",103.4252,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2020","2020","IDX","Index","0","Units","2013M12_100","2013M12=100",107.0502,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2021","2021","IDX","Index","0","Units","2013M12_100","2013M12=100",110.764,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",94.65063,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",96.19475,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",99.51391,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",100.6112,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",101.0088,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",99.97731,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",99.60408,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",99.92992,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",99.01496,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",94.60566,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",96.87054,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2010","2010","IDX","Index","0","Units","2013M12_100","2013M12=100",93.36075,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2011","2011","IDX","Index","0","Units","2013M12_100","2013M12=100",95.38934,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2012","2012","IDX","Index","0","Units","2013M12_100","2013M12=100",96.99558,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2013","2013","IDX","Index","0","Units","2013M12_100","2013M12=100",99.01917,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2014","2014","IDX","Index","0","Units","2013M12_100","2013M12=100",100.9895,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2015","2015","IDX","Index","0","Units","2013M12_100","2013M12=100",102.726,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2016","2016","IDX","Index","0","Units","2013M12_100","2013M12=100",105.0721,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2017","2017","IDX","Index","0","Units","2013M12_100","2013M12=100",108.7657,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2018","2018","IDX","Index","0","Units","2013M12_100","2013M12=100",111.6062,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2019","2019","IDX","Index","0","Units","2013M12_100","2013M12=100",115.2343,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2020","2020","IDX","Index","0","Units","2013M12_100","2013M12=100",119.1674,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2021","2021","IDX","Index","0","Units","2013M12_100","2013M12=100",124.4843,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,1.631393,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,3.450456,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,1.102681,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.3951694,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.9987356,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.02269053,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,-0.3733105,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,0.3271379,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,-0.9156038,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,-4.453169,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2021","2021","PC","Percentage","0","Units",,,2.394024,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","1993","1993","IDX","Index","0","Units","1982-84_100","1982-84=100",144.4583,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","1994","1994","IDX","Index","0","Units","1982-84_100","1982-84=100",148.225,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","1995","1995","IDX","Index","0","Units","1982-84_100","1982-84=100",152.3833,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","1996","1996","IDX","Index","0","Units","1982-84_100","1982-84=100",156.85,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","1997","1997","IDX","Index","0","Units","1982-84_100","1982-84=100",160.5167,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","1998","1998","IDX","Index","0","Units","1982-84_100","1982-84=100",163.0083,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","1999","1999","IDX","Index","0","Units","1982-84_100","1982-84=100",166.575,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2000","2000","IDX","Index","0","Units","1982-84_100","1982-84=100",172.2,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2001","2001","IDX","Index","0","Units","1982-84_100","1982-84=100",177.0667,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2002","2002","IDX","Index","0","Units","1982-84_100","1982-84=100",179.875,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2003","2003","IDX","Index","0","Units","1982-84_100","1982-84=100",183.9583,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2004","2004","IDX","Index","0","Units","1982-84_100","1982-84=100",188.8833,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2005","2005","IDX","Index","0","Units","1982-84_100","1982-84=100",195.2917,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2006","2006","IDX","Index","0","Units","1982-84_100","1982-84=100",201.5917,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2007","2007","IDX","Index","0","Units","1982-84_100","1982-84=100",207.3424,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2008","2008","IDX","Index","0","Units","1982-84_100","1982-84=100",215.3025,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2009","2009","IDX","Index","0","Units","1982-84_100","1982-84=100",214.537,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2010","2010","IDX","Index","0","Units","1982-84_100","1982-84=100",218.0555,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2011","2011","IDX","Index","0","Units","1982-84_100","1982-84=100",224.9392,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2012","2012","IDX","Index","0","Units","1982-84_100","1982-84=100",229.5939,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2013","2013","IDX","Index","0","Units","1982-84_100","1982-84=100",232.9571,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2014","2014","IDX","Index","0","Units","1982-84_100","1982-84=100",236.7362,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2015","2015","IDX","Index","0","Units","1982-84_100","1982-84=100",237.017,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2016","2016","IDX","Index","0","Units","1982-84_100","1982-84=100",240.0072,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2017","2017","IDX","Index","0","Units","1982-84_100","1982-84=100",245.1196,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2018","2018","IDX","Index","0","Units","1982-84_100","1982-84=100",251.1068,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2019","2019","IDX","Index","0","Units","1982-84_100","1982-84=100",255.6574,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2020","2020","IDX","Index","0","Units","1982-84_100","1982-84=100",258.8112,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2021","2021","IDX","Index","0","Units","1982-84_100","1982-84=100",270.9698,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,1.631393,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,3.450456,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,1.102681,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.3951694,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.9987356,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GY","Percentage change on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.02269053,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GY","Percentage change on the same period of the previous year","A","Annual","2017","2017","PC","Percentage","0","Units",,,-0.3733105,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GY","Percentage change on the same period of the previous year","A","Annual","2018","2018","PC","Percentage","0","Units",,,0.3271379,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GY","Percentage change on the same period of the previous year","A","Annual","2019","2019","PC","Percentage","0","Units",,,-0.9156038,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GY","Percentage change on the same period of the previous year","A","Annual","2020","2020","PC","Percentage","0","Units",,,-4.453169,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GY","Percentage change on the same period of the previous year","A","Annual","2021","2021","PC","Percentage","0","Units",,,2.394024,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GY","Percentage change on the same period of the previous year","A","Annual","1993","1993","PC","Percentage","0","Units",,,2.363116,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GY","Percentage change on the same period of the previous year","A","Annual","1994","1994","PC","Percentage","0","Units",,,2.873803,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GY","Percentage change on the same period of the previous year","A","Annual","1995","1995","PC","Percentage","0","Units",,,3.238866,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GY","Percentage change on the same period of the previous year","A","Annual","1996","1996","PC","Percentage","0","Units",,,3.731092,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GY","Percentage change on the same period of the previous year","A","Annual","1997","1997","PC","Percentage","0","Units",,,2.489739,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GY","Percentage change on the same period of the previous year","A","Annual","1998","1998","PC","Percentage","0","Units",,,1.891764,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GY","Percentage change on the same period of the previous year","A","Annual","1999","1999","PC","Percentage","0","Units",,,1.908358,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GY","Percentage change on the same period of the previous year","A","Annual","2000","2000","PC","Percentage","0","Units",,,2.238011,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GY","Percentage change on the same period of the previous year","A","Annual","2001","2001","PC","Percentage","0","Units",,,3.266157,,
