ID,Royal Mail,Energy,Water,Rail
1359,Public sector,Public sector,Public sector,Public sector
598,Public sector,Public sector,Public sector,Public sector
1166,Public sector,Public sector,Public sector,Public sector
1468,Public sector,Public sector,Public sector,Public sector
1710,Don't know,Private sector,Public sector,Public sector
659,Public sector,Public sector,Public sector,Public sector
71,Public sector,Public sector,Public sector,Public sector
457,Public sector,Public sector,Public sector,Public sector
891,Public sector,Public sector,Public sector,Public sector
1212,Public sector,Public sector,Public sector,Public sector
1456,Public sector,Public sector,Public sector,Public sector
488,Public sector,Public sector,Public sector,Public sector
1562,Public sector,Public sector,Public sector,Public sector
912,Public sector,Public sector,Public sector,Public sector
1558,Public sector,Public sector,Public sector,Public sector
215,Public sector,Public sector,Public sector,Public sector
540,Public sector,Public sector,Public sector,Public sector
613,Public sector,Public sector,Public sector,Public sector
1698,Private sector,Private sector,Public sector,Public sector
917,Public sector,Public sector,Public sector,Public sector
937,Public sector,Public sector,Public sector,Public sector
931,Public sector,Public sector,Public sector,Public sector
296,Public sector,Public sector,Public sector,Public sector
328,Public sector,Public sector,Public sector,Public sector
1171,Public sector,Public sector,Public sector,Public sector
889,Public sector,Public sector,Public sector,Public sector
1108,Public sector,Public sector,Public sector,Public sector
1107,Public sector,Public sector,Public sector,Public sector
250,Public sector,Public sector,Public sector,Public sector
1744,Don't know,Don't know,Public sector,Public sector
281,Public sector,Public sector,Public sector,Public sector
898,Public sector,Public sector,Public sector,Public sector
869,Public sector,Public sector,Public sector,Public sector
687,Public sector,Public sector,Public sector,Public sector
431,Public sector,Public sector,Public sector,Public sector
1054,Public sector,Public sector,Public sector,Public sector
10,Public sector,Public sector,Public sector,Public sector
1723,Don't know,Private sector,Public sector,Public sector
1465,Public sector,Public sector,Public sector,Public sector
1800,Don't know,Don't know,Private sector,Private sector
1369,Public sector,Public sector,Public sector,Public sector
1616,Private sector,Public sector,Public sector,Public sector
585,Public sector,Public sector,Public sector,Public sector
1036,Public sector,Public sector,Public sector,Public sector
293,Public sector,Public sector,Public sector,Public sector
849,Public sector,Public sector,Public sector,Public sector
303,Public sector,Public sector,Public sector,Public sector
1622,Private sector,Private sector,Public sector,Public sector
1362,Public sector,Public sector,Public sector,Public sector
1374,Public sector,Public sector,Public sector,Public sector
1684,Private sector,Private sector,Public sector,Public sector
107,Public sector,Public sector,Public sector,Public sector
752,Public sector,Public sector,Public sector,Public sector
543,Public sector,Public sector,Public sector,Public sector
1542,Public sector,Public sector,Public sector,Public sector
775,Public sector,Public sector,Public sector,Public sector
1028,Public sector,Public sector,Public sector,Public sector
43,Public sector,Public sector,Public sector,Public sector
189,Public sector,Public sector,Public sector,Public sector
911,Public sector,Public sector,Public sector,Public sector
171,Public sector,Public sector,Public sector,Public sector
39,Public sector,Public sector,Public sector,Public sector
810,Public sector,Public sector,Public sector,Public sector
216,Public sector,Public sector,Public sector,Public sector
1315,Public sector,Public sector,Public sector,Public sector
58,Public sector,Public sector,Public sector,Public sector
395,Public sector,Public sector,Public sector,Public sector
1208,Public sector,Public sector,Public sector,Public sector
456,Public sector,Public sector,Public sector,Public sector
1046,Public sector,Public sector,Public sector,Public sector
1194,Public sector,Public sector,Public sector,Public sector
1842,Don't know,Don't know,Don't know,Don't know
588,Public sector,Public sector,Public sector,Public sector
63,Public sector,Public sector,Public sector,Public sector
1638,Private sector,Private sector,Public sector,Public sector
417,Public sector,Public sector,Public sector,Public sector
1768,Don't know,Don't know,Private sector,Private sector
886,Public sector,Public sector,Public sector,Public sector
1094,Public sector,Public sector,Public sector,Public sector
59,Public sector,Public sector,Public sector,Public sector
1508,Public sector,Public sector,Public sector,Public sector
804,Public sector,Public sector,Public sector,Public sector
203,Public sector,Public sector,Public sector,Public sector
1251,Public sector,Public sector,Public sector,Public sector
1267,Public sector,Public sector,Public sector,Public sector
413,Public sector,Public sector,Public sector,Public sector
577,Public sector,Public sector,Public sector,Public sector
542,Public sector,Public sector,Public sector,Public sector
476,Public sector,Public sector,Public sector,Public sector
940,Public sector,Public sector,Public sector,Public sector
1597,Private sector,Public sector,Public sector,Public sector
979,Public sector,Public sector,Public sector,Public sector
522,Public sector,Public sector,Public sector,Public sector
405,Public sector,Public sector,Public sector,Public sector
1421,Public sector,Public sector,Public sector,Public sector
716,Public sector,Public sector,Public sector,Public sector
607,Public sector,Public sector,Public sector,Public sector
801,Public sector,Public sector,Public sector,Public sector
501,Public sector,Public sector,Public sector,Public sector
429,Public sector,Public sector,Public sector,Public sector
778,Public sector,Public sector,Public sector,Public sector
982,Public sector,Public sector,Public sector,Public sector
205,Public sector,Public sector,Public sector,Public sector
1499,Public sector,Public sector,Public sector,Public sector
1128,Public sector,Public sector,Public sector,Public sector
1234,Public sector,Public sector,Public sector,Public sector
471,Public sector,Public sector,Public sector,Public sector
66,Public sector,Public sector,Public sector,Public sector
88,Public sector,Public sector,Public sector,Public sector
1807,Don't know,Don't know,Don't know,Don't know
601,Public sector,Public sector,Public sector,Public sector
309,Public sector,Public sector,Public sector,Public sector
142,Public sector,Public sector,Public sector,Public sector
294,Public sector,Public sector,Public sector,Public sector
1445,Public sector,Public sector,Public sector,Public sector
715,Public sector,Public sector,Public sector,Public sector
1184,Public sector,Public sector,Public sector,Public sector
1454,Public sector,Public sector,Public sector,Public sector
1536,Public sector,Public sector,Public sector,Public sector
1385,Public sector,Public sector,Public sector,Public sector
116,Public sector,Public sector,Public sector,Public sector
929,Public sector,Public sector,Public sector,Public sector
993,Public sector,Public sector,Public sector,Public sector
480,Public sector,Public sector,Public sector,Public sector
1039,Public sector,Public sector,Public sector,Public sector
486,Public sector,Public sector,Public sector,Public sector
254,Public sector,Public sector,Public sector,Public sector
725,Public sector,Public sector,Public sector,Public sector
1515,Public sector,Public sector,Public sector,Public sector
1678,Private sector,Private sector,Public sector,Public sector
1202,Public sector,Public sector,Public sector,Public sector
1452,Public sector,Public sector,Public sector,Public sector
1131,Public sector,Public sector,Public sector,Public sector
627,Public sector,Public sector,Public sector,Public sector
194,Public sector,Public sector,Public sector,Public sector
742,Public sector,Public sector,Public sector,Public sector
962,Public sector,Public sector,Public sector,Public sector
1826,Don't know,Don't know,Don't know,Don't know
894,Public sector,Public sector,Public sector,Public sector
365,Public sector,Public sector,Public sector,Public sector
1402,Public sector,Public sector,Public sector,Public sector
421,Public sector,Public sector,Public sector,Public sector
823,Public sector,Public sector,Public sector,Public sector
1179,Public sector,Public sector,Public sector,Public sector
1190,Public sector,Public sector,Public sector,Public sector
207,Public sector,Public sector,Public sector,Public sector
1492,Public sector,Public sector,Public sector,Public sector
1129,Public sector,Public sector,Public sector,Public sector
1506,Public sector,Public sector,Public sector,Public sector
587,Public sector,Public sector,Public sector,Public sector
280,Public sector,Public sector,Public sector,Public sector
972,Public sector,Public sector,Public sector,Public sector
440,Public sector,Public sector,Public sector,Public sector
389,Public sector,Public sector,Public sector,Public sector
499,Public sector,Public sector,Public sector,Public sector
991,Public sector,Public sector,Public sector,Public sector
251,Public sector,Public sector,Public sector,Public sector
1255,Public sector,Public sector,Public sector,Public sector
1318,Public sector,Public sector,Public sector,Public sector
1764,Don't know,Don't know,Private sector,Private sector
463,Public sector,Public sector,Public sector,Public sector
1553,Public sector,Public sector,Public sector,Public sector
100,Public sector,Public sector,Public sector,Public sector
919,Public sector,Public sector,Public sector,Public sector
1699,Private sector,Private sector,Public sector,Public sector
141,Public sector,Public sector,Public sector,Public sector
924,Public sector,Public sector,Public sector,Public sector
1821,Don't know,Don't know,Don't know,Don't know
379,Public sector,Public sector,Public sector,Public sector
1060,Public sector,Public sector,Public sector,Public sector
626,Public sector,Public sector,Public sector,Public sector
1771,Don't know,Don't know,Private sector,Private sector
1386,Public sector,Public sector,Public sector,Public sector
1677,Private sector,Private sector,Public sector,Public sector
708,Public sector,Public sector,Public sector,Public sector
1110,Public sector,Public sector,Public sector,Public sector
138,Public sector,Public sector,Public sector,Public sector
344,Public sector,Public sector,Public sector,Public sector
1235,Public sector,Public sector,Public sector,Public sector
1485,Public sector,Public sector,Public sector,Public sector
681,Public sector,Public sector,Public sector,Public sector
461,Public sector,Public sector,Public sector,Public sector
727,Public sector,Public sector,Public sector,Public sector
1810,Don't know,Don't know,Don't know,Don't know
1748,Don't know,Don't know,Private sector,Private sector
1827,Don't know,Don't know,Don't know,Don't know
700,Public sector,Public sector,Public sector,Public sector
1786,Don't know,Don't know,Private sector,Private sector
1792,Don't know,Don't know,Private sector,Private sector
371,Public sector,Public sector,Public sector,Public sector
380,Public sector,Public sector,Public sector,Public sector
97,Public sector,Public sector,Public sector,Public sector
49,Public sector,Public sector,Public sector,Public sector
754,Public sector,Public sector,Public sector,Public sector
815,Public sector,Public sector,Public sector,Public sector
1493,Public sector,Public sector,Public sector,Public sector
1284,Public sector,Public sector,Public sector,Public sector
475,Public sector,Public sector,Public sector,Public sector
174,Public sector,Public sector,Public sector,Public sector
1752,Don't know,Don't know,Private sector,Private sector
1690,Private sector,Private sector,Public sector,Public sector
183,Public sector,Public sector,Public sector,Public sector
347,Public sector,Public sector,Public sector,Public sector
1098,Public sector,Public sector,Public sector,Public sector
1596,Private sector,Public sector,Public sector,Public sector
1583,Private sector,Public sector,Public sector,Public sector
118,Public sector,Public sector,Public sector,Public sector
1295,Public sector,Public sector,Public sector,Public sector
1618,Private sector,Private sector,Public sector,Public sector
357,Public sector,Public sector,Public sector,Public sector
1276,Public sector,Public sector,Public sector,Public sector
155,Public sector,Public sector,Public sector,Public sector
1500,Public sector,Public sector,Public sector,Public sector
1483,Public sector,Public sector,Public sector,Public sector
61,Public sector,Public sector,Public sector,Public sector
1762,Don't know,Don't know,Private sector,Private sector
1656,Private sector,Private sector,Public sector,Public sector
1203,Public sector,Public sector,Public sector,Public sector
1296,Public sector,Public sector,Public sector,Public sector
1100,Public sector,Public sector,Public sector,Public sector
1111,Public sector,Public sector,Public sector,Public sector
1248,Public sector,Public sector,Public sector,Public sector
335,Public sector,Public sector,Public sector,Public sector
1000,Public sector,Public sector,Public sector,Public sector
1188,Public sector,Public sector,Public sector,Public sector
13,Public sector,Public sector,Public sector,Public sector
637,Public sector,Public sector,Public sector,Public sector
1024,Public sector,Public sector,Public sector,Public sector
526,Public sector,Public sector,Public sector,Public sector
41,Public sector,Public sector,Public sector,Public sector
1658,Private sector,Private sector,Public sector,Public sector
545,Public sector,Public sector,Public sector,Public sector
772,Public sector,Public sector,Public sector,Public sector
334,Public sector,Public sector,Public sector,Public sector
1119,Public sector,Public sector,Public sector,Public sector
269,Public sector,Public sector,Public sector,Public sector
731,Public sector,Public sector,Public sector,Public sector
746,Public sector,Public sector,Public sector,Public sector
755,Public sector,Public sector,Public sector,Public sector
1003,Public sector,Public sector,Public sector,Public sector
1649,Private sector,Private sector,Public sector,Public sector
53,Public sector,Public sector,Public sector,Public sector
367,Public sector,Public sector,Public sector,Public sector
875,Public sector,Public sector,Public sector,Public sector
420,Public sector,Public sector,Public sector,Public sector
54,Public sector,Public sector,Public sector,Public sector
689,Public sector,Public sector,Public sector,Public sector
1407,Public sector,Public sector,Public sector,Public sector
782,Public sector,Public sector,Public sector,Public sector
1504,Public sector,Public sector,Public sector,Public sector
831,Public sector,Public sector,Public sector,Public sector
1298,Public sector,Public sector,Public sector,Public sector
768,Public sector,Public sector,Public sector,Public sector
1238,Public sector,Public sector,Public sector,Public sector
1192,Public sector,Public sector,Public sector,Public sector
1543,Public sector,Public sector,Public sector,Public sector
1717,Don't know,Private sector,Public sector,Public sector
191,Public sector,Public sector,Public sector,Public sector
843,Public sector,Public sector,Public sector,Public sector
771,Public sector,Public sector,Public sector,Public sector
694,Public sector,Public sector,Public sector,Public sector
1505,Public sector,Public sector,Public sector,Public sector
170,Public sector,Public sector,Public sector,Public sector
530,Public sector,Public sector,Public sector,Public sector
67,Public sector,Public sector,Public sector,Public sector
1512,Public sector,Public sector,Public sector,Public sector
1301,Public sector,Public sector,Public sector,Public sector
1809,Don't know,Don't know,Don't know,Don't know
34,Public sector,Public sector,Public sector,Public sector
504,Public sector,Public sector,Public sector,Public sector
562,Public sector,Public sector,Public sector,Public sector
1520,Public sector,Public sector,Public sector,Public sector
1333,Public sector,Public sector,Public sector,Public sector
166,Public sector,Public sector,Public sector,Public sector
1561,Public sector,Public sector,Public sector,Public sector
936,Public sector,Public sector,Public sector,Public sector
350,Public sector,Public sector,Public sector,Public sector
1151,Public sector,Public sector,Public sector,Public sector
1055,Public sector,Public sector,Public sector,Public sector
547,Public sector,Public sector,Public sector,Public sector
724,Public sector,Public sector,Public sector,Public sector
508,Public sector,Public sector,Public sector,Public sector
491,Public sector,Public sector,Public sector,Public sector
308,Public sector,Public sector,Public sector,Public sector
615,Public sector,Public sector,Public sector,Public sector
580,Public sector,Public sector,Public sector,Public sector
1788,Don't know,Don't know,Private sector,Private sector
1669,Private sector,Private sector,Public sector,Public sector
11,Public sector,Public sector,Public sector,Public sector
1173,Public sector,Public sector,Public sector,Public sector
1840,Don't know,Don't know,Don't know,Don't know
1373,Public sector,Public sector,Public sector,Public sector
1603,Private sector,Public sector,Public sector,Public sector
711,Public sector,Public sector,Public sector,Public sector
1218,Public sector,Public sector,Public sector,Public sector
1381,Public sector,Public sector,Public sector,Public sector
19,Public sector,Public sector,Public sector,Public sector
730,Public sector,Public sector,Public sector,Public sector
617,Public sector,Public sector,Public sector,Public sector
784,Public sector,Public sector,Public sector,Public sector
920,Public sector,Public sector,Public sector,Public sector
1442,Public sector,Public sector,Public sector,Public sector
235,Public sector,Public sector,Public sector,Public sector
793,Public sector,Public sector,Public sector,Public sector
669,Public sector,Public sector,Public sector,Public sector
1799,Don't know,Don't know,Private sector,Private sector
487,Public sector,Public sector,Public sector,Public sector
956,Public sector,Public sector,Public sector,Public sector
1144,Public sector,Public sector,Public sector,Public sector
346,Public sector,Public sector,Public sector,Public sector
895,Public sector,Public sector,Public sector,Public sector
199,Public sector,Public sector,Public sector,Public sector
165,Public sector,Public sector,Public sector,Public sector
1767,Don't know,Don't know,Private sector,Private sector
1222,Public sector,Public sector,Public sector,Public sector
865,Public sector,Public sector,Public sector,Public sector
614,Public sector,Public sector,Public sector,Public sector
1495,Public sector,Public sector,Public sector,Public sector
1176,Public sector,Public sector,Public sector,Public sector
916,Public sector,Public sector,Public sector,Public sector
930,Public sector,Public sector,Public sector,Public sector
618,Public sector,Public sector,Public sector,Public sector
1309,Public sector,Public sector,Public sector,Public sector
535,Public sector,Public sector,Public sector,Public sector
1025,Public sector,Public sector,Public sector,Public sector
609,Public sector,Public sector,Public sector,Public sector
241,Public sector,Public sector,Public sector,Public sector
980,Public sector,Public sector,Public sector,Public sector
563,Public sector,Public sector,Public sector,Public sector
1008,Public sector,Public sector,Public sector,Public sector
1394,Public sector,Public sector,Public sector,Public sector
1547,Public sector,Public sector,Public sector,Public sector
853,Public sector,Public sector,Public sector,Public sector
1469,Public sector,Public sector,Public sector,Public sector
1614,Private sector,Public sector,Public sector,Public sector
348,Public sector,Public sector,Public sector,Public sector
998,Public sector,Public sector,Public sector,Public sector
893,Public sector,Public sector,Public sector,Public sector
201,Public sector,Public sector,Public sector,Public sector
127,Public sector,Public sector,Public sector,Public sector
1749,Don't know,Don't know,Private sector,Private sector
576,Public sector,Public sector,Public sector,Public sector
25,Public sector,Public sector,Public sector,Public sector
633,Public sector,Public sector,Public sector,Public sector
822,Public sector,Public sector,Public sector,Public sector
1756,Don't know,Don't know,Private sector,Private sector
786,Public sector,Public sector,Public sector,Public sector
1185,Public sector,Public sector,Public sector,Public sector
1099,Public sector,Public sector,Public sector,Public sector
830,Public sector,Public sector,Public sector,Public sector
926,Public sector,Public sector,Public sector,Public sector
570,Public sector,Public sector,Public sector,Public sector
135,Public sector,Public sector,Public sector,Public sector
1589,Private sector,Public sector,Public sector,Public sector
788,Public sector,Public sector,Public sector,Public sector
1845,Don't know,Don't know,Don't know,Don't know
1592,Private sector,Public sector,Public sector,Public sector
790,Public sector,Public sector,Public sector,Public sector
224,Public sector,Public sector,Public sector,Public sector
698,Public sector,Public sector,Public sector,Public sector
206,Public sector,Public sector,Public sector,Public sector
1216,Public sector,Public sector,Public sector,Public sector
647,Public sector,Public sector,Public sector,Public sector
589,Public sector,Public sector,Public sector,Public sector
1769,Don't know,Don't know,Private sector,Private sector
1261,Public sector,Public sector,Public sector,Public sector
833,Public sector,Public sector,Public sector,Public sector
1482,Public sector,Public sector,Public sector,Public sector
1084,Public sector,Public sector,Public sector,Public sector
286,Public sector,Public sector,Public sector,Public sector
1790,Don't know,Don't know,Private sector,Private sector
1167,Public sector,Public sector,Public sector,Public sector
1815,Don't know,Don't know,Don't know,Don't know
1818,Don't know,Don't know,Don't know,Don't know
668,Public sector,Public sector,Public sector,Public sector
1451,Public sector,Public sector,Public sector,Public sector
1361,Public sector,Public sector,Public sector,Public sector
237,Public sector,Public sector,Public sector,Public sector
600,Public sector,Public sector,Public sector,Public sector
625,Public sector,Public sector,Public sector,Public sector
399,Public sector,Public sector,Public sector,Public sector
922,Public sector,Public sector,Public sector,Public sector
674,Public sector,Public sector,Public sector,Public sector
321,Public sector,Public sector,Public sector,Public sector
284,Public sector,Public sector,Public sector,Public sector
1388,Public sector,Public sector,Public sector,Public sector
382,Public sector,Public sector,Public sector,Public sector
462,Public sector,Public sector,Public sector,Public sector
128,Public sector,Public sector,Public sector,Public sector
161,Public sector,Public sector,Public sector,Public sector
1160,Public sector,Public sector,Public sector,Public sector
1075,Public sector,Public sector,Public sector,Public sector
1466,Public sector,Public sector,Public sector,Public sector
1519,Public sector,Public sector,Public sector,Public sector
807,Public sector,Public sector,Public sector,Public sector
477,Public sector,Public sector,Public sector,Public sector
222,Public sector,Public sector,Public sector,Public sector
352,Public sector,Public sector,Public sector,Public sector
1109,Public sector,Public sector,Public sector,Public sector
1819,Don't know,Don't know,Don't know,Don't know
1174,Public sector,Public sector,Public sector,Public sector
1183,Public sector,Public sector,Public sector,Public sector
1611,Private sector,Public sector,Public sector,Public sector
361,Public sector,Public sector,Public sector,Public sector
1346,Public sector,Public sector,Public sector,Public sector
811,Public sector,Public sector,Public sector,Public sector
1712,Don't know,Private sector,Public sector,Public sector
1625,Private sector,Private sector,Public sector,Public sector
331,Public sector,Public sector,Public sector,Public sector
204,Public sector,Public sector,Public sector,Public sector
57,Public sector,Public sector,Public sector,Public sector
1012,Public sector,Public sector,Public sector,Public sector
866,Public sector,Public sector,Public sector,Public sector
541,Public sector,Public sector,Public sector,Public sector
1079,Public sector,Public sector,Public sector,Public sector
1526,Public sector,Public sector,Public sector,Public sector
279,Public sector,Public sector,Public sector,Public sector
677,Public sector,Public sector,Public sector,Public sector
132,Public sector,Public sector,Public sector,Public sector
263,Public sector,Public sector,Public sector,Public sector
973,Public sector,Public sector,Public sector,Public sector
1489,Public sector,Public sector,Public sector,Public sector
703,Public sector,Public sector,Public sector,Public sector
1165,Public sector,Public sector,Public sector,Public sector
1262,Public sector,Public sector,Public sector,Public sector
841,Public sector,Public sector,Public sector,Public sector
741,Public sector,Public sector,Public sector,Public sector
630,Public sector,Public sector,Public sector,Public sector
704,Public sector,Public sector,Public sector,Public sector
223,Public sector,Public sector,Public sector,Public sector
354,Public sector,Public sector,Public sector,Public sector
1774,Don't know,Don't know,Private sector,Private sector
1211,Public sector,Public sector,Public sector,Public sector
1765,Don't know,Don't know,Private sector,Private sector
23,Public sector,Public sector,Public sector,Public sector
1632,Private sector,Private sector,Public sector,Public sector
1702,Private sector,Private sector,Public sector,Public sector
1545,Public sector,Public sector,Public sector,Public sector
688,Public sector,Public sector,Public sector,Public sector
1680,Private sector,Private sector,Public sector,Public sector
1147,Public sector,Public sector,Public sector,Public sector
953,Public sector,Public sector,Public sector,Public sector
383,Public sector,Public sector,Public sector,Public sector
1852,Don't know,Don't know,Don't know,Don't know
1062,Public sector,Public sector,Public sector,Public sector
946,Public sector,Public sector,Public sector,Public sector
292,Public sector,Public sector,Public sector,Public sector
469,Public sector,Public sector,Public sector,Public sector
1795,Don't know,Don't know,Private sector,Private sector
366,Public sector,Public sector,Public sector,Public sector
1654,Private sector,Private sector,Public sector,Public sector
533,Public sector,Public sector,Public sector,Public sector
1136,Public sector,Public sector,Public sector,Public sector
396,Public sector,Public sector,Public sector,Public sector
124,Public sector,Public sector,Public sector,Public sector
91,Public sector,Public sector,Public sector,Public sector
259,Public sector,Public sector,Public sector,Public sector
1121,Public sector,Public sector,Public sector,Public sector
848,Public sector,Public sector,Public sector,Public sector
1375,Public sector,Public sector,Public sector,Public sector
1429,Public sector,Public sector,Public sector,Public sector
1041,Public sector,Public sector,Public sector,Public sector
870,Public sector,Public sector,Public sector,Public sector
1009,Public sector,Public sector,Public sector,Public sector
464,Public sector,Public sector,Public sector,Public sector
928,Public sector,Public sector,Public sector,Public sector
939,Public sector,Public sector,Public sector,Public sector
1272,Public sector,Public sector,Public sector,Public sector
737,Public sector,Public sector,Public sector,Public sector
226,Public sector,Public sector,Public sector,Public sector
311,Public sector,Public sector,Public sector,Public sector
1358,Public sector,Public sector,Public sector,Public sector
