season,title,year,month,day,av_rating,genre_1,genre_2,genre_3
2,Baby Daddy,2013,7,24,8.282,Comedy,Drama,Family
3,Baby Daddy,2014,3,19,8.8466,Comedy,Drama,Family
4,Baby Daddy,2015,3,16,8.9823,Comedy,Drama,Family
5,Baby Daddy,2016,5,4,9.1413,Comedy,Drama,Family
6,Baby Daddy,2017,5,22,8.9,Comedy,Drama,Family
1,Babylon 5,1994,5,12,7.428,Action,Adventure,Drama
2,Babylon 5,1995,3,10,8.0481,Action,Adventure,Drama
3,Babylon 5,1996,4,18,8.462,Action,Adventure,Drama
4,Babylon 5,1997,4,20,8.4828,Action,Adventure,Drama
5,Babylon 5,1998,5,17,7.973,Action,Adventure,Drama
1,Backstrom,2015,3,11,7.5481,Comedy,Crime,Drama
1,Bag of Bones,2011,12,11,6.2,Drama,Horror,Mystery
1,Ballers,2015,7,22,8.0642,Comedy,Drama,Sport
2,Ballers,2016,8,19,8.3812,Comedy,Drama,Sport
3,Ballers,2017,8,23,8.3598,Comedy,Drama,Sport
4,Ballers,2018,8,9,8.1247,Comedy,Drama,Sport
1,Band of Brothers,2001,10,4,8.6848,Action,Drama,History
1,Banshee,2013,2,11,8.4863,Action,Crime,Drama
2,Banshee,2014,2,10,8.7367,Action,Crime,Drama
3,Banshee,2015,2,9,9.1633,Action,Crime,Drama
4,Banshee,2016,4,25,8.892,Action,Crime,Drama
1,Barbarians Rising,2016,6,6,7.4,Action,Documentary,Drama
1,Barry,2018,4,9,8.3481,Comedy,Crime,Drama
1,Baskets,2016,2,21,7.8945,Comedy,Drama,NA
2,Baskets,2017,2,16,8.2559,Comedy,Drama,NA
3,Baskets,2018,1,26,7.6,Comedy,Drama,NA
1,Bates Motel,2013,4,18,8.3858,Drama,Horror,Mystery
2,Bates Motel,2014,4,3,8.5949,Drama,Horror,Mystery
3,Bates Motel,2015,4,9,8.7558,Drama,Horror,Mystery
4,Bates Motel,2016,4,11,8.932,Drama,Horror,Mystery
5,Bates Motel,2017,3,23,9.0583,Drama,Horror,Mystery
1,Battle Creek,2015,4,14,8.484,Comedy,Crime,Drama
1,Battlestar Galactica,2003,12,8,8.5469,Action,Adventure,Drama
1,Battlestar Galactica,2005,2,18,7.9444,Action,Adventure,Drama
2,Battlestar Galactica,2005,11,12,7.866,Action,Adventure,Drama
3,Battlestar Galactica,2006,12,25,7.9459,Action,Adventure,Drama
4,Battlestar Galactica,2008,9,27,8.4363,Action,Adventure,Drama
1,Battlestar Galactica: The Resistance,2006,9,19,5.3299,Drama,Sci-Fi,NA
1,Believe,2014,4,25,8.1682,Drama,Fantasy,Sci-Fi
1,Betrayal,2013,9,29,7.3,Drama,NA,NA
1,Better Call Saul,2015,3,6,8.9657,Crime,Drama,NA
2,Better Call Saul,2016,3,17,8.7525,Crime,Drama,NA
3,Better Call Saul,2017,5,13,8.9852,Crime,Drama,NA
4,Better Call Saul,2018,9,6,8.8911,Crime,Drama,NA
1,Better Things,2016,10,9,7.8763,Comedy,Drama,NA
2,Better Things,2017,10,17,8.39,Comedy,Drama,NA
1,"Beverly Hills, 90210",1991,1,15,6.7713,Drama,Romance,NA
2,"Beverly Hills, 90210",1991,11,6,6.6737,Drama,Romance,NA
3,"Beverly Hills, 90210",1993,1,17,6.5842,Drama,Romance,NA
6,"Beverly Hills, 90210",1995,11,8,7.8,Drama,Romance,NA
1,Beyond,2017,1,29,8.1274,Drama,Fantasy,Mystery
1,Big Little Lies,2017,3,11,8.6825,Crime,Drama,Mystery
1,Big Love,2006,4,16,7.7039,Drama,NA,NA
2,Big Love,2007,7,19,7.9148,Drama,NA,NA
3,Big Love,2009,2,15,7.832,Drama,NA,NA
5,Big Love,2011,2,16,8.1403,Drama,NA,NA
1,Billions,2016,2,26,8.3838,Drama,NA,NA
2,Billions,2017,3,29,8.8221,Drama,NA,NA
3,Billions,2018,4,29,8.6774,Drama,NA,NA
1,Birds of Prey,2002,10,9,7.1,Action,Adventure,Drama
1,Black Box,2014,4,27,7.9044,Drama,NA,NA
1,Black Lightning,2018,3,3,7.3444,Action,Drama,Sci-Fi
1,Black Mirror,2011,12,11,8.2334,Drama,Sci-Fi,Thriller
2,Black Mirror,2013,8,3,8.1643,Drama,Sci-Fi,Thriller
3,Black Mirror,2016,10,21,8.3515,Drama,Sci-Fi,Thriller
4,Black Mirror,2017,12,29,7.9251,Drama,Sci-Fi,Thriller
1,Blade: The Series,2006,7,5,6.6435,Action,Drama,Fantasy
1,Bleak House,2005,12,13,8.3528,Drama,NA,NA
1,Blindspot,2016,1,27,8.1367,Action,Crime,Drama
2,Blindspot,2017,1,10,8.1356,Action,Crime,Drama
3,Blindspot,2018,2,4,8.0905,Action,Crime,Drama
1,Blood & Oil,2015,10,11,7.3521,Crime,Drama,Romance
1,Bloodline,2015,3,20,8.4232,Drama,Thriller,NA
2,Bloodline,2016,5,27,8.5788,Drama,Thriller,NA
3,Bloodline,2017,5,26,6.5883,Drama,Thriller,NA
1,Blossom,1990,7,5,6.8,Comedy,Drama,Family
1,Blue Bloods,2011,1,9,7.9416,Crime,Drama,NA
2,Blue Bloods,2012,1,13,8.0138,Crime,Drama,NA
3,Blue Bloods,2013,1,14,8.0972,Crime,Drama,NA
4,Blue Bloods,2014,1,8,8.2605,Crime,Drama,NA
5,Blue Bloods,2015,1,7,8.0654,Crime,Drama,NA
6,Blue Bloods,2016,1,7,7.9422,Crime,Drama,NA
7,Blue Bloods,2017,1,4,7.6671,Crime,Drama,NA
8,Blue Bloods,2018,1,13,7.8797,Crime,Drama,NA
1,BoJack Horseman,2014,8,22,7.7871,Animation,Comedy,Drama
2,BoJack Horseman,2015,6,30,8.044,Animation,Comedy,Drama
3,BoJack Horseman,2016,7,22,8.3554,Animation,Comedy,Drama
4,BoJack Horseman,2017,9,8,8.6384,Animation,Comedy,Drama
5,BoJack Horseman,2018,9,14,9.4738,Animation,Comedy,Drama
1,Boardwalk Empire,2010,10,27,8.4332,Crime,Drama,History
2,Boardwalk Empire,2011,11,2,8.6492,Crime,Drama,History
3,Boardwalk Empire,2012,10,20,8.7089,Crime,Drama,History
4,Boardwalk Empire,2013,10,16,8.6249,Crime,Drama,History
5,Boardwalk Empire,2014,9,30,8.7879,Crime,Drama,History
1,Body of Proof,2011,4,22,7.5952,Crime,Drama,NA
2,Body of Proof,2011,12,28,7.9168,Crime,Drama,NA
3,Body of Proof,2013,4,4,7.8281,Crime,Drama,NA
1,Bodyguard,2018,9,6,8.5294,Crime,Drama,Thriller
1,Bones,2006,1,22,7.9742,Comedy,Crime,Drama
2,Bones,2006,12,30,8.1183,Comedy,Crime,Drama
3,Bones,2008,1,10,8.0683,Comedy,Crime,Drama
4,Bones,2009,1,19,7.9163,Comedy,Crime,Drama
5,Bones,2010,1,16,8.0668,Comedy,Crime,Drama
6,Bones,2011,1,25,8.0539,Comedy,Crime,Drama
7,Bones,2012,2,15,8.0424,Comedy,Crime,Drama
8,Bones,2013,1,13,7.7111,Comedy,Crime,Drama
9,Bones,2014,1,9,7.7742000000000004,Comedy,Crime,Drama
10,Bones,2015,2,8,7.6415,Comedy,Crime,Drama
11,Bones,2016,2,23,8.0754,Comedy,Crime,Drama
12,Bones,2017,2,7,7.9464,Comedy,Crime,Drama
1,Bonnie & Clyde,2013,12,8,6.9,Biography,Crime,Drama
1,Bored to Death,2009,10,14,7.5747,Comedy,Crime,Drama
2,Bored to Death,2010,10,20,7.8315,Comedy,Crime,Drama
3,Bored to Death,2011,11,6,7.6955,Comedy,Crime,Drama
1,Bosch,2015,1,6,8.5871,Crime,Drama,NA
2,Bosch,2016,3,11,8.7918,Crime,Drama,NA
3,Bosch,2017,4,21,8.8512,Crime,Drama,NA
1,Boss,2011,11,14,8.0329,Crime,Drama,NA
2,Boss,2012,9,17,8.1415,Crime,Drama,NA
1,Boston Legal,2004,12,17,8.26,Comedy,Crime,Drama
2,Boston Legal,2006,1,27,8.1129,Comedy,Crime,Drama
3,Boston Legal,2007,1,19,8.2236,Comedy,Crime,Drama
4,Boston Legal,2008,1,12,7.7656,Comedy,Crime,Drama
5,Boston Legal,2008,11,2,8.0657,Comedy,Crime,Drama
1,Boy Meets World,1994,1,3,8.0282,Comedy,Drama,Family
2,Boy Meets World,1994,12,30,7.9785,Comedy,Drama,Family
3,Boy Meets World,1996,1,6,8.1101,Comedy,Drama,Family
4,Boy Meets World,1997,1,1,8.2971,Comedy,Drama,Family
5,Boy Meets World,1998,1,19,8.4547,Comedy,Drama,Family
6,Boy Meets World,1998,12,29,8.2947,Comedy,Drama,Family
7,Boy Meets World,2000,1,10,8.3795,Comedy,Drama,Family
1,BrainDead,2016,7,31,8.1956,Comedy,Drama,Horror
1,Breaking Bad,2008,2,15,8.711,Crime,Drama,Thriller
2,Breaking Bad,2009,4,19,8.7655,Crime,Drama,Thriller
3,Breaking Bad,2010,5,2,8.7466,Crime,Drama,Thriller
4,Breaking Bad,2011,8,28,9.1069,Crime,Drama,Thriller
5,Breaking Bad,2013,2,20,9.554,Crime,Drama,Thriller
1,Breaking Bad: Original Minisodes,2009,2,17,7.4767,Comedy,Crime,Drama
1,Breakout Kings,2011,4,13,7.7707,Crime,Drama,Thriller
2,Breakout Kings,2012,4,3,8.037,Crime,Drama,Thriller
1,Brockmire,2017,4,10,7.9341,Comedy,Drama,Sport
1,Broken at Love,2012,9,19,7.6871,Drama,Romance,Sport
1,Brooklyn South,1997,10,13,7,Crime,Drama,NA
1,Brotherhood,2006,7,9,7.7,Crime,Drama,NA
1,Brothers & Sisters,2006,12,5,8.0272,Drama,NA,NA
5,Brothers & Sisters,2011,5,8,9.1,Drama,NA,NA
1,Buffy the Vampire Slayer,1997,4,14,7.9629,Action,Drama,Fantasy
2,Buffy the Vampire Slayer,1997,12,31,8.4191,Action,Drama,Fantasy
3,Buffy the Vampire Slayer,1999,1,29,8.6233,Action,Drama,Fantasy
4,Buffy the Vampire Slayer,2000,1,19,8.2205,Action,Drama,Fantasy
5,Buffy the Vampire Slayer,2001,1,12,8.3028,Action,Drama,Fantasy
6,Buffy the Vampire Slayer,2002,1,29,8.1008,Action,Drama,Fantasy
7,Buffy the Vampire Slayer,2003,1,18,8.046,Action,Drama,Fantasy
1,Bull,2017,1,28,5.2053,Comedy,Crime,Drama
2,Bull,2017,12,31,5.9668,Comedy,Crime,Drama
1,Bunheads,2012,6,11,7.9,Comedy,Drama,NA
1,Burn Notice,2007,8,8,8.2375,Action,Crime,Drama
2,Burn Notice,2008,10,30,8.4619,Action,Crime,Drama
3,Burn Notice,2009,10,10,8.4393,Action,Crime,Drama
4,Burn Notice,2010,8,26,8.4131,Action,Crime,Drama
5,Burn Notice,2011,9,8,8.2586,Action,Crime,Drama
6,Burn Notice,2012,9,17,8.5064,Action,Crime,Drama
7,Burn Notice,2013,7,23,8.7325,Action,Crime,Drama
1,C.B. Strike,2017,10,30,8.0609,Crime,Drama,Mystery
2,C.B. Strike,2018,2,28,8.1089,Crime,Drama,Mystery
13,CBS Schoolbreak Special,1995,12,19,6.5,Drama,Family,Romance
1,CSI: Crime Scene Investigation,2001,1,20,8.3223,Crime,Drama,Mystery
2,CSI: Crime Scene Investigation,2002,1,10,8.2584,Crime,Drama,Mystery
3,CSI: Crime Scene Investigation,2003,1,15,8.3032,Crime,Drama,Mystery
4,CSI: Crime Scene Investigation,2004,1,18,8.3278,Crime,Drama,Mystery
5,CSI: Crime Scene Investigation,2005,1,24,8.3801,Crime,Drama,Mystery
6,CSI: Crime Scene Investigation,2006,1,16,8.2087,Crime,Drama,Mystery
7,CSI: Crime Scene Investigation,2007,1,14,8.4267,Crime,Drama,Mystery
8,CSI: Crime Scene Investigation,2008,1,7,8.0688,Crime,Drama,Mystery
9,CSI: Crime Scene Investigation,2009,1,27,7.7956,Crime,Drama,Mystery
10,CSI: Crime Scene Investigation,2010,1,23,7.6927,Crime,Drama,Mystery
11,CSI: Crime Scene Investigation,2011,1,7,7.4897,Crime,Drama,Mystery
12,CSI: Crime Scene Investigation,2012,1,9,8.1063,Crime,Drama,Mystery
13,CSI: Crime Scene Investigation,2013,1,14,7.6904,Crime,Drama,Mystery
14,CSI: Crime Scene Investigation,2014,1,4,7.5664,Crime,Drama,Mystery
15,CSI: Crime Scene Investigation,2014,12,9,7.471,Crime,Drama,Mystery
1,CSI: Cyber,2015,4,14,6.4579,Crime,Drama,Mystery
2,CSI: Cyber,2015,12,20,7.1268,Crime,Drama,Mystery
1,CSI: Miami,2003,1,12,7.3119,Action,Crime,Drama
2,CSI: Miami,2004,1,18,7.2545,Action,Crime,Drama
3,CSI: Miami,2005,1,14,7.248,Action,Crime,Drama
4,CSI: Miami,2006,1,16,7.1958,Action,Crime,Drama
5,CSI: Miami,2007,1,11,7.3535,Action,Crime,Drama
6,CSI: Miami,2008,1,10,7.6672,Action,Crime,Drama
7,CSI: Miami,2009,1,17,7.836,Action,Crime,Drama
8,CSI: Miami,2010,1,15,7.6145,Action,Crime,Drama
9,CSI: Miami,2011,1,17,7.5484,Action,Crime,Drama
10,CSI: Miami,2011,12,30,7.5757,Action,Crime,Drama
1,CSI: NY,2005,1,15,7.4294,Action,Crime,Drama
2,CSI: NY,2006,1,18,7.5394,Action,Crime,Drama
3,CSI: NY,2007,1,6,7.7906,Action,Crime,Drama
4,CSI: NY,2008,1,11,7.8755,Action,Crime,Drama
5,CSI: NY,2009,1,24,8.1069,Action,Crime,Drama
6,CSI: NY,2010,1,14,8.0376,Action,Crime,Drama
7,CSI: NY,2011,1,8,7.9156,Action,Crime,Drama
8,CSI: NY,2012,1,2,7.9273,Action,Crime,Drama
9,CSI: NY,2012,12,7,7.87,Action,Crime,Drama
1,Californication,2007,9,20,8.2775,Comedy,Drama,NA
2,Californication,2008,11,5,8.2268,Comedy,Drama,NA
3,Californication,2009,11,4,8.3316,Comedy,Drama,NA
4,Californication,2011,2,16,8.1737,Comedy,Drama,NA
5,Californication,2012,2,18,7.8448,Comedy,Drama,NA
6,Californication,2013,2,25,7.6177,Comedy,Drama,NA
7,Californication,2014,5,21,7.5632,Comedy,Drama,NA
1,Call the Midwife,2012,2,3,8.5787,Drama,History,NA
2,Call the Midwife,2013,2,16,8.7565,Drama,History,NA
3,Call the Midwife,2014,4,10,8.9397,Drama,History,NA
4,Call the Midwife,2015,2,13,8.7706,Drama,History,NA
5,Call the Midwife,2016,3,22,8.7901,Drama,History,NA
6,Call the Midwife,2017,2,9,8.5121,Drama,History,NA
7,Call the Midwife,2018,3,25,8.4023,Drama,History,NA
1,Carlos,2010,10,12,7.7409,Biography,Crime,Drama
1,Carnivàle,2003,10,22,7.9264,Drama,Fantasy,Mystery
2,Carnivàle,2005,2,16,8.5342,Drama,Fantasy,Mystery
1,Castle,2009,4,9,8.1838,Comedy,Crime,Drama
2,Castle,2010,1,12,8.4813,Comedy,Crime,Drama
3,Castle,2011,1,12,8.5497,Comedy,Crime,Drama
4,Castle,2012,1,6,8.6687,Comedy,Crime,Drama
5,Castle,2013,1,20,8.6541,Comedy,Crime,Drama
6,Castle,2014,1,9,8.4742,Comedy,Crime,Drama
7,Castle,2015,1,15,8.4301,Comedy,Crime,Drama
8,Castle,2016,1,28,8.0475,Comedy,Crime,Drama
1,Castle Rock,2018,8,13,8.4047,Drama,Fantasy,Horror
1,Casual,2015,11,1,7.973,Comedy,Drama,NA
2,Casual,2016,6,7,7.929,Comedy,Drama,NA
1,Chance,2016,11,13,8.5971,Drama,Mystery,Thriller
2,Chance,2017,11,1,8.9725,Drama,Mystery,Thriller
1,Channel Zero,2016,10,28,7.6614,Drama,Horror,Mystery
2,Channel Zero,2017,10,4,7.8323,Drama,Horror,Mystery
3,Channel Zero,2018,2,22,7.7958,Drama,Horror,Mystery
1,Charmed,1999,6,29,8.1748,Drama,Fantasy,Mystery
2,Charmed,2000,1,25,8.1675,Drama,Fantasy,Mystery
3,Charmed,2001,1,23,8.4704,Drama,Fantasy,Mystery
4,Charmed,2002,1,19,8.4435,Drama,Fantasy,Mystery
5,Charmed,2003,1,16,8.1948,Drama,Fantasy,Mystery
6,Charmed,2004,1,14,7.8187,Drama,Fantasy,Mystery
7,Charmed,2005,1,12,8.0384,Drama,Fantasy,Mystery
8,Charmed,2006,1,12,8.0038,Drama,Fantasy,Mystery
1,Chase,2010,9,20,7.4,Action,Crime,Drama
1,Chasing Life,2014,6,10,8.3,Drama,Family,Romance
8,Cheers,1990,1,8,7.7298,Comedy,Drama,NA
9,Cheers,1990,12,28,7.6353,Comedy,Drama,NA
10,Cheers,1992,1,2,7.7525,Comedy,Drama,NA
11,Cheers,1993,1,30,7.9578,Comedy,Drama,NA
1,Chesapeake Shores,2016,9,7,8.7553,Drama,Family,NA
1,Chicago Fire,2013,1,22,8.3141,Action,Drama,NA
2,Chicago Fire,2014,1,13,8.6971,Action,Drama,NA
3,Chicago Fire,2015,1,12,8.6095,Action,Drama,NA
4,Chicago Fire,2016,1,24,8.6481,Action,Drama,NA
5,Chicago Fire,2017,1,25,8.8944,Action,Drama,NA
6,Chicago Fire,2018,1,31,8.7518,Action,Drama,NA
1,Chicago Justice,2017,3,27,8.2531,Crime,Drama,NA
1,Chicago Med,2016,2,18,6.1248,Drama,NA,NA
2,Chicago Med,2017,1,18,5.7814,Drama,NA,NA
3,Chicago Med,2018,2,8,4.5872,Drama,NA,NA
1,Chicago P.D.,2014,3,13,7.6807,Action,Crime,Drama
2,Chicago P.D.,2015,1,18,7.7688,Action,Crime,Drama
3,Chicago P.D.,2016,1,20,8.5349,Action,Crime,Drama
4,Chicago P.D.,2017,1,18,8.7036,Action,Crime,Drama
5,Chicago P.D.,2018,1,16,8.7741,Action,Crime,Drama
1,Childhood's End,2015,12,15,7.4915,Drama,Sci-Fi,Thriller
1,Children of Dune,2003,3,16,7.292,Adventure,Drama,Fantasy
1,Chosen,2013,1,17,7.5066,Action,Drama,Thriller
1,Chuck,2007,11,11,8.3499,Action,Comedy,Drama
2,Chuck,2009,1,12,8.8237,Action,Comedy,Drama
3,Chuck,2010,3,14,8.9672,Action,Comedy,Drama
4,Chuck,2011,1,13,8.645,Action,Comedy,Drama
5,Chuck,2011,12,18,8.6545,Action,Comedy,Drama
1,Claws,2017,6,25,8.3401,Comedy,Crime,Drama
1,Cloak & Dagger,2018,7,2,7.3755,Action,Adventure,Drama
1,Close to Home,2005,12,18,7.969,Drama,NA,NA
1,Cobra Kai,2018,5,2,8.7041,Action,Comedy,Drama
1,Code Black,2015,12,9,9.2223,Drama,NA,NA
2,Code Black,2016,11,28,9.2572,Drama,NA,NA
3,Code Black,2018,6,7,8.8821,Drama,NA,NA
1,Cold Case,2004,1,6,7.8677,Crime,Drama,Mystery
2,Cold Case,2005,1,18,8.1686,Crime,Drama,Mystery
3,Cold Case,2006,1,23,8.0707,Crime,Drama,Mystery
4,Cold Case,2007,1,26,8.2792,Crime,Drama,Mystery
5,Cold Case,2007,12,17,8.1029,Crime,Drama,Mystery
6,Cold Case,2008,12,13,8.056,Crime,Drama,Mystery
