title,year,gross_2013,budget_2013,roi,binary,clean_test
Texas Chainsaw 3D,2013,73435262,20000000,3.6717631,PASS,ok
The Big Wedding,2013,57590069,32500000,1.7720021230769232,PASS,ok
The Book Thief,2013,83391050,19000000,4.389002631578947,PASS,ok
The Call,2013,110811146,13000000,8.523934307692308,PASS,ok
The Conjuring,2013,455400282,20000000,22.7700141,PASS,ok
The Counselor,2013,87347430,25000000,3.4938972,PASS,ok
The Croods,2013,760236850,135000000,5.631384074074074,FAIL,men
The Family,2013,87997352,30000000,2.9332450666666667,FAIL,men
The Fifth Estate,2013,9408344,26000000,0.36185938461538464,FAIL,notalk
The Frozen Ground,2013,NA,19200000,NA,FAIL,nowomen
The Great Gatsby,2013,495880838,190000000,2.609899147368421,FAIL,dubious
The Hangover part 3,2013,474200144,103000000,4.603884893203883,FAIL,men
The Heat,2013,390363174,43000000,9.07821334883721,PASS,ok
The Hobbit: The Desolation of Smaug,2013,1194795032,250000000,4.779180128,FAIL,notalk
The Host,2013,84812085,50000000,1.6962417,FAIL,dubious
The Hunger Games: Catching Fire,2013,1281176520,130000000,9.855204,PASS,ok
The Incredible Burt Wonderstone,2013,46793838,32000000,1.4623074375,FAIL,notalk
The Internship,2013,138345528,58000000,2.385267724137931,FAIL,notalk
The Last Exorcism Part II,2013,33720539,4000000,8.43013475,PASS,ok
The Lone Ranger,2013,349279820,275000000,1.2701084363636364,FAIL,notalk
The Mortal Instruments: City of Bones,2013,107130988,60000000,1.7855164666666667,PASS,ok
The Purge,2013,155573656,3000000,51.857885333333336,FAIL,dubious
The Smurfs 2,2013,419563625,110000000,3.8142147727272726,PASS,ok
The To Do List,2013,6983338,1500000,4.655558666666667,PASS,ok
The Way Way Back,2013,47664133,5000000,9.5328266,PASS,ok
The Wolf of Wall Street,2013,481405714,100000000,4.81405714,FAIL,notalk
The Wolverine,2013,549013704,115000000,4.774032208695652,PASS,ok
The World's End,2013,72583672,20000000,3.6291836,FAIL,men
This Is the End,2013,227764466,32000000,7.1176395625,FAIL,notalk
Thor: The Dark World,2013,836349580,170000000,4.919703411764706,FAIL,dubious
Trance,2013,24916645,16000000,1.5572903125,FAIL,nowomen
Turbo,2013,366856260,135000000,2.7174537777777776,FAIL,dubious
Warm Bodies,2013,183024272,30000000,6.100809066666667,FAIL,men
We're the Millers,2013,420394238,37000000,11.362006432432432,PASS,ok
White House Down,2013,278544171,150000000,1.85696114,FAIL,men
World War Z,2013,741919422,190000000,3.904839063157895,FAIL,dubious
Abraham Lincoln: Vampire Hunter,2012,154872683,68488103,2.2613078215934816,FAIL,dubious
Act of Valor,2012,154742408,12175663,12.709156618411663,FAIL,nowomen
Amour,2012,33132691,9841994,3.3664612069464783,FAIL,dubious
Anna Karenina,2012,84774987,49717290,1.705140947947887,FAIL,men
Argo,2012,362556940,45151416,8.029802210411297,PASS,ok
Battleship,2012,374785286,212059460,1.7673594283414662,FAIL,notalk
Beasts of the Southern Wild,2012,34371697,1826349,18.81989532121188,FAIL,dubious
Blue Like Jazz,2012,1207456,1217566,0.9916965486881204,PASS,ok
Brave,2012,803480829,187708135,4.280479527432309,PASS,ok
Bullet to the Head,2012,23388782,55805121,0.41911533531125217,FAIL,nowomen
Chernobyl Diaries,2012,57336881,1014639,56.50963643226803,FAIL,notalk
Chronicle,2012,194455836,12175663,15.970862202740006,FAIL,notalk
Cloud Atlas,2012,155368393,103493134,1.5012434834565933,PASS,ok
Contraband,2012,167349264,25365964,6.597394209027499,PASS,ok
Django Unchained,2012,596789221,101463857,5.881791197825251,FAIL,notalk
Flight,2012,259285559,31453796,8.243378923167175,FAIL,dubious
Frankenweenie,2012,118143070,39570904,2.9856045239704403,FAIL,nowomen
Hannibal,2012,522734226,88273555,5.921753417543907,PASS,ok
Hotel Transylvania,2012,514964647,86244278,5.971000731202133,PASS,ok
Jack Reacher,2012,301795589,60878314,4.957357869667678,FAIL,notalk
Jagten,2012,1394488,3500503,0.39836789170013565,FAIL,men
John Carter,2012,361045719,279025606,1.2939519213874586,PASS,ok
Killing Them Softly,2012,52948218,15219578,3.478954409905452,FAIL,nowomen
Les Miserables,2012,599481607,65951507,9.089733264169384,PASS,ok
Life of Pi,2012,743703733,121756628,6.108117029982138,FAIL,notalk
Lincoln,2012,461872538,65951507,7.003214316239961,PASS,ok
Madagascar 3: Europe's Most Wanted,2012,977414270,147122592,6.643536228616744,FAIL,men
Men in Black III,2012,815609102,218147292,3.7388000305775053,FAIL,notalk
Mirror Mirror,2012,236965954,86244278,2.7476136329879184,FAIL,dubious
Moonrise Kingdom,2012,111128220,16234217,6.845308276956012,PASS,ok
Much Ado About Nothing,2012,45758856,8117109,5.6373341789546005,FAIL,dubious
One for the Money,2012,63528294,42614820,1.4907558919643449,PASS,ok
Paranormal Activity 4,2012,199573498,5073193,39.338834142521286,PASS,ok
ParaNorman,2012,166565159,60878314,2.736034361924018,FAIL,notalk
Parental Guidance,2012,200326107,25365964,7.89743717210984,PASS,ok
People Like Us,2012,25227552,16234217,1.5539740536916564,PASS,ok
Pitch Perfect,2012,182972076,17248856,10.607780365260165,PASS,ok
Premium Rush,2012,52425001,35512350,1.4762470239226635,PASS,ok
Red Dawn,2012,94331894,65951507,1.430322039494867,FAIL,notalk
Red Tails,2012,101709273,58849037,1.7283081964450837,FAIL,men
Rise of the Guardians,2012,416320063,147122592,2.8297493766287096,FAIL,notalk
Rock of Ages,2012,89934748,71024700,1.2662460805888656,PASS,ok
Safe,2012,59495658,33483073,1.776887623187991,FAIL,notalk
Safety Not Guaranteed,2012,8547463,760979,11.232193004011938,PASS,ok
Seven Psychopaths,2012,39080192,13697621,2.853064192679882,FAIL,notalk
Silent Hill: Revelation 3D,2012,66433275,20292771,3.2737409297133446,PASS,ok
Silver Linings Playbook,2012,364671607,21307410,17.11477870843993,PASS,ok
Sinister,2012,137802842,3043916,45.271565312577614,FAIL,men
Skyfall,2012,1433739447,202927713,7.065271794592196,FAIL,dubious
Snow White and the Huntsman,2012,564187700,172488556,3.270870329507541,PASS,ok
Sparkle,2012,49775928,10146386,4.905779062614019,PASS,ok
Spring Breakers,2012,45449534,5073193,8.958763051198723,PASS,ok
Step Up Revolution,2012,203563858,33483073,6.07960499921856,PASS,ok
Supporting Characters,2012,9978,60878,0.16390157363908145,FAIL,men
Ted,2012,779354347,50731928,15.362206360460025,FAIL,men
That's My Boy,2012,96379965,68488103,1.407251198065743,FAIL,notalk
The Amazing Spider-Man,2012,1034851109,223220484,4.636004234270901,FAIL,men
The Avengers,2012,73024382,60878314,1.19951386958581,FAIL,notalk
The Dark Knight Rises,2012,1549843203,279025606,5.554483780961665,FAIL,notalk
The Devil Inside,2012,157289709,1014639,155.0203658641152,PASS,ok
The Dictator,2012,242528807,65951507,3.6773808216391477,FAIL,notalk
The Expendables 2,2012,402819068,101463857,3.970074467009469,PASS,ok
The Grey,2012,137909503,25365964,5.436793295141474,FAIL,nowomen
The Hobbit: An Unexpected Journey,2012,1336996479,253659641,5.270828554866559,FAIL,nowomen
The Hunger Games,2012,1108514330,81171085,13.656517342351652,PASS,ok
The Impossible,2012,191371475,40585543,4.715262156280624,FAIL,men
The Man with the Iron Fists,2012,38169876,15219578,2.507945752503782,FAIL,notalk
The Master,2012,41969407,38048946,1.1030373088389887,FAIL,notalk
The Pirates! Band of Misfits,2012,156363257,55805121,2.8019517599469053,FAIL,notalk
The Place Beyond the Pines,2012,69416465,15219578,4.560998011902827,FAIL,notalk
The Twilight Saga: Breaking Dawn - Part 2,2012,1141452937,138193773,8.259800077967334,FAIL,dubious
The Vow,2012,327355062,8866236,36.921537166391694,PASS,ok
The Watch,2012,103194830,55805121,1.8492000044225332,FAIL,men
The Woman in Black,2012,185972278,15219578,12.219279535871493,FAIL,notalk
The Words,2012,23973288,6087831,3.937903006834454,FAIL,notalk
Think Like a Man,2012,190450022,12175663,15.641860488418578,PASS,ok
To Rome With Love,2012,92380943,21814729,4.234796728393921,FAIL,men
Total Recall,2012,261263307,126829821,2.0599517127758147,FAIL,notalk
Underworld: Awakening,2012,225960992,71024700,3.1814423996159085,PASS,ok
Wanderlust,2012,42054830,32975753,1.2753258432036412,PASS,ok
What to Expect When You're Expecting,2012,123587448,38048946,3.248117516842648,PASS,ok
Won't Back Down,2012,10899288,19278133,0.565370515910436,PASS,ok
Wrath of the Titans,2012,391285385,152195785,2.570934438164631,FAIL,notalk
Wreck-It Ralph,2012,672528166,167415363,4.017123362806315,PASS,ok
Zero Dark Thirty,2012,236858680,53268525,4.446503446453605,PASS,ok
30 Minutes or Less,2011,80805258,28999342,2.7864514305186647,FAIL,notalk
50/50,2011,79075875,8285526,9.543856962128897,FAIL,men
A Dangerous Method,2011,21241618,20713816,1.0254806743479812,FAIL,dubious
A Lonely Place to Die,2011,NA,4142763,NA,PASS,ok
A Very Harold & Kumar 3D Christmas,2011,73872485,20713816,3.5663387663576813,FAIL,notalk
Another Earth,2011,3213114,181246,17.727916754024918,PASS,ok
Apollo 18,2011,45782450,5178454,8.84094944166734,FAIL,nowomen
Arthur Christmas,2011,201014240,88033717,2.2833778562366054,FAIL,notalk
Attack the Block,2011,6660110,13463980,0.49466131114276757,PASS,ok
Bad Teacher,2011,328008576,19678125,16.668690538351598,PASS,ok
Battle: Los Angeles,2011,306106314,72498355,4.222251856611091,FAIL,notalk
Beastly,2011,68245602,17606743,3.8761059896199996,FAIL,notalk
Blackthorn,2011,1502086,4660609,0.3222939319732679,FAIL,notalk
Bridesmaids,2011,474729442,33659951,14.10368785147667,PASS,ok
Captain America: The First Avenger,2011,566755146,144996710,3.9087448673835428,FAIL,notalk
Cars 2,2011,778431676,207138157,3.7580312930948785,FAIL,men
Circumstance,2011,940658,932122,1.0091575995416908,PASS,ok
Colombiana,2011,112231527,41427631,2.7090983551533516,FAIL,notalk
Conan the Barbarian,2011,121567489,20713816,5.868908413592165,FAIL,dubious
Contagion,2011,220819313,62141447,3.553494867926072,PASS,ok
Coriolanus,2011,1863500,10356908,0.17992821795848724,FAIL,men
Cowboys & Aliens,2011,286006908,168817598,1.6941770963948912,FAIL,notalk
Detention,2011,NA,10356908,NA,PASS,ok
Diary of a Wimpy Kid: Rodrick Rules,2011,130904820,18642434,7.021873860462641,FAIL,notalk
Dolphin Tale,2011,174364243,38320559,4.550148733477505,FAIL,men
Dream House,2011,63420194,51784539,1.2246936098050425,PASS,ok
Drive,2011,117152696,15535362,7.541034190255753,FAIL,dubious
Fast Five,2011,869647762,129461348,6.717431692430702,PASS,ok
Final Destination 5,2011,207630406,41427631,5.011882190415378,FAIL,men
Footloose,2011,119327648,24856579,4.800646460641265,PASS,ok
Fright Night,2011,60918605,31070724,1.9606432408848922,FAIL,dubious
Green Lantern,2011,360215684,207138157,1.7390117263619373,FAIL,notalk
Hall Pass,2011,133349331,37284868,3.576500016038678,FAIL,men
Hanna,2011,109371861,31070724,3.520093738401461,PASS,ok
Harry Potter and the Deathly Hallows: Part 2,2011,1770122362,129461348,13.672979536718557,FAIL,notalk
Haywire,2011,42586141,23820888,1.7877646290935922,FAIL,nowomen
Hesher,2011,793228,7249836,0.10941323362349162,FAIL,notalk
Higher Ground,2011,1760921,1864243,0.9445769677021719,PASS,ok
Hobo with a Shotgun,2011,1593229,3107072,0.5127750499505644,FAIL,nowomen
Hop,2011,303467383,65248520,4.650946611509349,FAIL,men
Horrible Bosses,2011,343929212,36249178,9.48791754670961,PASS,ok
Hugo,2011,268137985,186424342,1.43832067273704,FAIL,dubious
I Am Number Four,2011,208260053,51784539,4.021664709615354,FAIL,notalk
Immortals,2011,305597606,77676809,3.9342193626929243,FAIL,men
In Time,2011,215028667,36249178,5.931959808854148,FAIL,notalk
Iris,2011,21475567,5696299,3.770091246965793,PASS,ok
Jin ling shi san chai,2011,97388975,103569079,0.9403286766699933,PASS,ok
Johnny English Reborn,2011,179014627,46606085,3.8410140435524673,FAIL,dubious
Jumping the Broom,2011,78147007,7249836,10.779141348852582,PASS,ok
Just Go with It,2011,329352841,82855263,3.975038266428531,FAIL,dubious
Kill List,2011,508803,828553,0.614086244331986,FAIL,dubious
Killer Elite,2011,85860933,72498355,1.1843156027471244,FAIL,nowomen
Kung Fu Panda 2,2011,859713054,155353618,5.533910732610038,PASS,ok
Le Havre,2011,14594856,5696299,2.5621646616513636,FAIL,dubious
Like Crazy,2011,7381244,258923,28.507486781784547,PASS,ok
Limitless,2011,257875520,27963651,9.221811558154549,FAIL,notalk
Margaret,2011,97738,14499671,0.006740704668402476,PASS,ok
Margin Call,2011,24054739,3521349,6.83111472336312,FAIL,notalk
Mars Needs Moms,2011,63117602,155353618,0.40628343782762755,FAIL,dubious
Martha Marcy May Marlene,2011,6744498,1035691,6.512075512870151,PASS,ok
Melancholia,2011,21827101,9735493,2.2420129109024063,PASS,ok
Midnight in Paris,2011,219186683,31070724,7.054444016174196,PASS,ok
Mission: Impossible - Ghost Protocol,2011,936379571,150175164,6.235249198729026,FAIL,notalk
Moneyball,2011,193446186,51784539,3.7355973372670173,FAIL,notalk
Mr. Popper's Penguins,2011,267051734,56962993,4.688161908908122,FAIL,notalk
New Year's Eve,2011,205282756,26927960,7.623405412069833,PASS,ok
No Strings Attached,2011,227738355,25892270,8.795611779113997,PASS,ok
October Baby,2011,11094002,1035691,10.711691035260516,PASS,ok
Our Idiot Brother,2011,52484748,5178454,10.13521564544167,PASS,ok
Paranormal Activity 3,2011,322170936,5178454,62.213729425809326,PASS,ok
Paul,2011,142503552,41427631,3.439818994235997,PASS,ok
Pirates of the Caribbean: On Stranger Tides,2011,1330580694,258922697,5.138910993191145,FAIL,notalk
Priest,2011,117334084,62141447,1.8881775314952032,FAIL,notalk
Puss in Boots,2011,729383146,134639802,5.417292176350646,FAIL,notalk
Rango,2011,381923566,139818256,2.731571519530325,FAIL,notalk
Real Steel,2011,392216741,113925987,3.4427328770915104,FAIL,notalk
Red Riding Hood,2011,132529690,43499013,3.046728669452799,PASS,ok
Red State,2011,2206910,4142763,0.5327145192713172,PASS,ok
Restless,2011,3088582,8285526,0.3727683673915211,PASS,ok
Rio,2011,653665487,93212171,7.012662402209257,FAIL,notalk
Rise of the Planet of the Apes,2011,683162740,96319243,7.0926921632887,FAIL,notalk
Shame,2011,15311633,6731990,2.2744586667538127,FAIL,notalk
Snow Flower and the Secret Fan,2011,13149555,6214145,2.1160682603962413,PASS,ok
Soul Surfer,2011,94260368,18642434,5.056226456266387,PASS,ok
Source Code,2011,202105452,33142105,6.098147718740255,FAIL,notalk
Straw Dogs,2011,22348407,25892270,0.8631304632618152,PASS,ok
Sucker Punch,2011,130653316,77676809,1.682011885941401,PASS,ok
Super 8,2011,400916075,51784539,7.742003361273526,PASS,ok
Take Shelter,2011,5031289,4919531,1.0227172061727023,PASS,ok
The Adjustment Bureau,2011,197080717,51991677,3.7906205064322123,FAIL,dubious
The Adventures of Tintin,2011,467703233,134639802,3.4737367855012145,FAIL,notalk
The Artist,2011,179095594,16571053,10.807737685710135,FAIL,notalk
The Best Exotic Marigold Hotel,2011,187577051,10356908,18.111298372062397,PASS,ok
The Cabin in the Woods,2011,116868820,31070724,3.7613806488706216,FAIL,dubious
The Darkest Hour,2011,87283057,36042039,2.4217014192787483,PASS,ok
The Divide,2011,37284,3107072,0.011999721924693087,PASS,ok
The Future,2011,1177916,1035691,1.1373237770725053,PASS,ok
The Girl with the Dragon Tattoo,2011,347666929,93212171,3.72984477531373,FAIL,notalk
The Green Hornet,2011,338425627,113925987,2.970574457257061,FAIL,notalk
The Guard,2011,22064774,6214145,3.5507336890272114,FAIL,notalk
The Help,2011,396488938,25892270,15.313023462214785,PASS,ok
The Iron Lady,2011,150746389,14499671,10.396538583530619,PASS,ok
The Lincoln Lawyer,2011,150334957,41427631,3.6288571991963527,FAIL,notalk
The Mechanic,2011,109233159,44016858,2.481620996210134,FAIL,nowomen
The Muppets,2011,258506188,46606085,5.5466188159764975,FAIL,notalk
The Rite,2011,133702778,38320559,3.489061263433031,FAIL,dubious
The Roommate,2011,80574224,16571053,4.862347854418183,PASS,ok
The Smurfs,2011,730867008,113925987,6.415279140833777,PASS,ok
The Three Musketeers,2011,165975483,93212171,1.780620290455417,FAIL,men
The Tree of Life,2011,78309958,36249178,2.1603236906503094,FAIL,nowomen
The Twilight Saga: Breaking Dawn - Part 1,2011,1026603418,132050575,7.774319937645103,PASS,ok
Thor,2011,652855187,155353618,4.202381607874752,PASS,ok
Tinker Tailor Soldier Spy,2011,109371230,21749507,5.028676282179638,FAIL,notalk
Tower Heist,2011,239779943,88033717,2.723728489165123,FAIL,notalk
Transformers: Dark of the Moon,2011,1528870809,201959703,7.5701775467554535,PASS,ok
War Horse,2011,245146858,72498355,3.3814126955018495,FAIL,notalk
Warrior,2011,39224199,25892270,1.5148999682144517,FAIL,notalk
We Bought a Zoo,2011,201492711,51784539,3.8909820361633423,FAIL,men
Weekend,2011,2135777,196781,10.853573261646195,FAIL,notalk
What's Your Number,2011,46318338,20713816,2.2361084022374245,PASS,ok
Winnie the Pooh,2011,79580878,31070724,2.561281739041549,FAIL,nowomen
X-Men: First Class,2011,519726840,165710526,3.1363538125514125,PASS,ok
Young Adult,2011,40456078,12428289,3.2551607063530628,PASS,ok
Your Sister's Sister,2011,4855401,124283,39.067298021451045,PASS,ok
127 Hours,2010,84465584,19228173,4.392803414032108,FAIL,dubious
Alice in Wonderland,2010,1451280787,213646368,6.792911110943857,PASS,ok
Animal Kingdom,2010,9745182,4486574,2.1720765109413107,FAIL,notalk
Another Year,2010,23192821,8545855,2.713926342068757,PASS,ok
Barney's Version,2010,17463598,32046955,0.5449378263863135,PASS,ok
Beginners,2010,18539335,3418342,5.423487468486185,FAIL,notalk
Biutiful,2010,32263245,37388114,0.8629278545582695,FAIL,notalk
Black Swan,2010,468122041,13887014,33.70933744288009,PASS,ok
Blue Valentine,2010,28098911,1068232,26.304127755019508,FAIL,men
Burlesque,2010,137906651,58752751,2.3472373404268336,PASS,ok
Casino Jack,2010,4401904,13352898,0.32965907475665585,FAIL,notalk
Centurion,2010,7207509,16023478,0.4498092736171261,FAIL,notalk
Charlie St. Cloud,2010,85121357,47002201,1.8110078930133506,FAIL,notalk
Clash of the Titans,2010,701219188,133528980,5.251438212139417,FAIL,dubious
Conviction,2010,18086498,13352898,1.3544998246822526,PASS,ok
Cop Out,2010,107662164,39524578,2.7239295002719572,FAIL,notalk
Country Strong,2010,43552236,16023478,2.718026386031797,PASS,ok
Cyrus,2010,18703481,7477623,2.501260226678986,FAIL,notalk
Date Night,2010,268105295,58752751,4.5632807049324375,PASS,ok
Dear John,2010,204435274,26705796,7.655090078573205,FAIL,nowomen
Despicable Me,2010,849253947,73707997,11.521869831844704,PASS,ok
Devil,2010,103654562,10682318,9.703377300694475,PASS,ok
Diary of a Wimpy Kid,2010,150575755,16023478,9.397195477785784,PASS,ok
Dinner for Schmucks,2010,170727845,73707997,2.3162730225866808,FAIL,notalk
Don't Be Afraid of the Dark,2010,59391265,26705796,2.2239091843583316,PASS,ok
Due Date,2010,333585395,69435070,4.804278227126436,FAIL,notalk
Dylan Dog: Dead of Night,2010,7773774,21364637,0.3638617403141462,FAIL,nowomen
Easy A,2010,143786340,8545855,16.825272602916854,PASS,ok
"Eat, Pray, Love",2010,305963894,64093910,4.773681212458407,PASS,ok
Edge of Darkness,2010,133018992,64093910,2.0753764593235147,FAIL,notalk
Everything Must Go,2010,5794370,5341159,1.084852557282043,FAIL,notalk
Fair Game,2010,40160169,53411592,0.7518998684779888,PASS,ok
Faster,2010,62917432,12818782,4.908222325646852,FAIL,nowomen
For Colored Girls,2010,80915967,22432869,3.607027126133532,PASS,ok
Frozen,2010,1492961065,160234776,9.317334864935937,FAIL,notalk
Get Him To The Greek,2010,163022222,42729274,3.8152350072692554,FAIL,notalk
Going the Distance,2010,61737887,34183419,1.8060770047607,PASS,ok
Green Zone,2010,142096581,106823184,1.3302035726626535,FAIL,nowomen
Grown Ups,2010,463852561,80117388,5.789661552620762,PASS,ok
Gunless,2010,978616,10575495,0.09253618861339351,FAIL,men
Harry Potter and the Deathly Hallows: Part 1,2010,1337835416,133528980,10.019064146225036,PASS,ok
Hot Tub Time Machine,2010,121222754,38456346,3.1522171659262685,FAIL,notalk
How to Train Your Dragon,2010,761064149,176258254,4.317892250311296,PASS,ok
I Am Love,2010,21511707,10682318,2.013767704724761,PASS,ok
Inception,2010,1201932392,170917095,7.032253807028489,FAIL,dubious
Insidious,2010,164379554,1602348,102.5866753039914,PASS,ok
Iron Man 2,2010,999859302,181599413,5.505850957789164,PASS,ok
It's Kind of a Funny Story,2010,13878419,8545855,1.6239942053779288,FAIL,notalk
Kick-Ass,2010,155533315,29910492,5.199958429303002,FAIL,notalk
Knight and Day,2010,361666001,124983125,2.8937186600191027,FAIL,men
Legion,2010,116460961,27774028,4.193160639140999,PASS,ok
Let Me In,2010,43162264,21364637,2.020266667765055,FAIL,notalk
Letters to Juliet,2010,141186531,32046955,4.4056145427857345,FAIL,dubious
Love and Other Drugs,2010,144303863,32046955,4.502888433550083,FAIL,men
Machete,2010,75764987,13352898,5.674048210358531,PASS,ok
Made In Dagenham,2010,17881736,8545855,2.0924455189094595,PASS,ok
Meek's Cutoff,2010,3042004,2136464,1.4238498753079856,FAIL,men
Megamind,2010,502392705,138870139,3.6177158647475682,FAIL,nowomen
Monsters,2010,6278031,534116,11.754059043353879,FAIL,nowomen
Morning Glory,2010,97265400,42729274,2.2763176364756394,PASS,ok
Nanny McPhee and the Big Bang,2010,135662781,37388114,3.6285002501062236,PASS,ok
Never Let Me Go,2010,14895600,16023478,0.9296109121877285,PASS,ok
Paranormal Activity 2,2010,280159759,3204696,87.42163344042618,PASS,ok
Percy Jackson & the Olympians: The Lightning Thief,2010,336744527,101482025,3.3182677129274865,FAIL,dubious
Please Give,2010,9190802,3204696,2.8679169568657996,PASS,ok
Predators,2010,191464617,42729274,4.480876904203895,FAIL,nowomen
Prince of Persia: The Sands of Time,2010,454873791,213646368,2.129096765174122,FAIL,nowomen
Rabbit Hole,2010,8619189,5341159,1.6137300911656065,PASS,ok
Ramona and Beezus,2010,57296349,16023478,3.5757748099382667,PASS,ok
Red,2010,306390102,64093910,4.780330955000249,FAIL,men
Remember Me,2010,80730938,17091709,4.723397642681607,PASS,ok
Repo Men,2010,34330029,34183419,1.0042889214797384,PASS,ok
Robin Hood,2010,457145708,224328687,2.037838825312609,FAIL,dubious
Salt,2010,442274512,138870139,3.1848064327205723,PASS,ok
Scott Pilgrim vs. the World,2010,85139227,90799707,0.9376597107301239,PASS,ok
Secretariat,2010,128268751,37388114,3.4307360622683456,PASS,ok
Sex and the city 2,2010,416640831,101482025,4.105562842286602,PASS,ok
Shrek Forever After,2010,1062870878,176258254,6.030190665567355,FAIL,notalk
Shutter Island,2010,453831896,85458547,5.310550107995635,FAIL,notalk
Skyline,2010,106940397,10682318,10.010972992940296,FAIL,dubious
Somewhere,2010,17274687,7477623,2.3101842657753675,FAIL,dubious
Submarine,2010,5394078,2029641,2.6576512792163736,FAIL,notalk
Super,2010,903808,2670580,0.33843135199095326,FAIL,notalk
Takers,2010,137088316,34183419,4.010374620514115,FAIL,notalk
Tangled,2010,841129889,277740279,3.0284764313929418,PASS,ok
The A-Team,2010,271825767,117505503,2.3133024416737316,FAIL,nowomen
